count,date
0.69,2019-11-07 15:58:24
1.45,2019-11-07 15:58:36
0.55,2019-11-07 15:58:48
2.5,2019-11-07 15:59:10
0.5,2019-11-07 15:59:22
0.1,2019-11-07 15:59:33
0.09,2019-11-07 15:59:44
0.21,2019-11-07 16:00:40
0.3,2019-11-07 16:01:02
0.1,2019-11-07 16:01:13
0.07,2019-11-07 16:01:47
0.18,2019-11-07 16:01:58
0.8,2019-11-07 16:02:09
3.3,2019-11-07 16:02:31
2.73,2019-11-07 16:02:43
1.0,2019-11-07 16:03:07
2.3,2019-11-07 16:03:18
0.5,2019-11-07 16:03:29
0.12,2019-11-07 16:04:15
1.46,2019-11-07 16:05:34
0.71,2019-11-07 16:06:10
0.35,2019-11-07 16:06:32
0.48,2019-11-07 16:06:56
0.69,2019-11-07 16:07:29
0.48,2019-11-07 16:08:18
1.18,2019-11-07 17:14:37
