epoch, date
1572076427097,2252525
1572076437065,2252637
1572076448493,2252783
1572076457071,2252827
1572076468497,2252858
1572076477081,2252858
1572076488512,2253085
1572076497090,2253085
1572076507103,2253215
1572076517218,2253423
1572076527132,2253606
1572076537103,2253606
1572076547140,2254268
1572076557142,2254361
1572076568575,2254401
1572076577154,2254401
1572076587170,2254466
1572076597177,2254558
1572076607187,2254644
1572076617209,2254962
1572076628623,2255039
1572076637199,2255039
1572076648631,2255149
1572076657428,2255149
1572076667810,2255310
1572076678647,2255560
1572076687248,2255560
1572076697253,2255910
1572076707377,2256074
1572076717255,2256147
1572076727316,2256315
1572076737378,2256419
1572076747364,2256627
1572076758713,2256808
1572076767308,2256808
1572076778732,2257036
1572076787320,2257036
1572076797364,2257086
1572076807334,2257121
1572076817372,2257254
1572076828775,2257389
1572076837361,2257389
1572076847374,2257487
1572076857393,2257825
1572076867451,2257994
1572076877415,2258049
1572076888824,2258338
1572076897409,2258338
1572076907540,2265223
1572076918848,2265325
1572076927436,2265325
1572076938875,2265538
1572076947459,2265538
1572076957460,2265607
1572076967473,2265917
1572076977453,2265917
1572076987484,2266140
1572076997496,2266202
1572077007508,2266202
1572077017518,2266288
1572077027516,2266458
1572077037536,2266535
1572077047544,2266730
1572077057541,2266832
1572077067562,2266832
1572077077572,2267294
1572077087578,2267310
1572077097588,2267441
1572077107593,2267473
1572077117607,2267473
1572077127603,2267618
1572077137629,2267618
1572077147629,2267686
1572077157644,2267761
1572077167615,2267854
1572077177624,2267896
1572077189080,2268071
1572077197698,2268071
1572077209228,2268168
1572077217683,2268168
1572077228145,2268246
1572077237706,2268489
1572077249091,2268505
1572077259139,2269039
1572077267750,2269039
1572077277741,2269232
1572077287740,2269262
1572077297743,2269300
1572077309186,2269377
1572077317767,2269377
1572077327764,2269793
1572077337777,2269845
1572077347787,2269845
1572077358392,2269999
1572077369213,2270065
1572077377813,2270065
1572077389232,2270287
1572077397796,2270287
1572077407835,2270352
1572077418408,2270490
1572077429278,2270505
1572077439255,2270602
1572077447863,2270602
1572077457875,2270662
1572077469292,2270838
1572077479272,2270919
1572077489308,2270970
1572077499316,2271030
1572077509425,2271107
1572077517914,2271171
1572077527927,2271241
1572077538483,2271277
1572077549348,2271309
1572077557926,2271309
1572077567956,2271530
1572077577967,2271782
1572077587937,2271815
1572077597955,2271870
1572077609396,2271941
1572077619404,2272023
1572077627995,2272023
1572077638001,2287264
1572077647997,2287339
1572077658022,2287369
1572077668005,2287650
1572077678045,2287650
1572077688010,2287851
1572077699454,2287851
1572077708063,2288083
1572077718063,2288169
1572077729501,2290323
1572077739506,2290323
1572077749476,2290554
1572077759494,2290624
1572077769503,2290675
1572077778120,2290773
1572077788092,2290773
1572077798133,2291144
1572077808244,2291302
1572077818146,2291338
1572077828157,2291390
1572077839632,2291446
1572077848210,2291446
1572077858187,2291653
1572077869565,2291738
1572077878155,2291738
1572077888203,2291846
1572077898207,2291904
1572077908229,2291904
1572077918212,2292236
1572077928240,2292347
1572077938221,2292606
1572077948255,2292676
1572077958268,2292767
1572077969707,2292842
1572077978285,2292842
1572077988307,2292947
1572077998279,2293094
1572078008307,2293094
1572078018318,2293139
1572078028303,2293513
1572078038330,2293581
1572078048346,2293711
1572078058317,2293978
1572078068351,2294046
1572078078329,2294064
1572078088959,2294201
1572078099797,2294289
1572078108490,2294289
1572078119799,2294471
1572078128363,2294471
1572078139787,2294628
1572078149795,2294733
1572078158420,2294733
1572078168425,2294822
1572078178429,2295000
1572078188442,2295120
1572078198446,2295232
1572078209876,2295384
1572078218466,2295479
1572078228474,2296709
1572078238488,2296789
1572078249876,2296920
1572078258469,2296920
1572078269892,2297302
1572078278516,2297302
1572078288518,2297542
1572078298504,2297611
1572078308545,2297753
1572078318530,2297779
1572078328556,2297982
1572078338567,2297982
1572078348546,2298040
1572078358579,2298146
1572078368595,2298282
1572078378602,2298282
1572078390023,2298623
1572078400043,2298897
1572078408726,2298897
1572078420029,2299063
1572078428612,2299063
1572078438650,2299277
1572078450070,2299451
1572078458674,2299451
1572078468632,2299608
1572078478679,2299633
1572078488661,2299633
1572078498697,2299713
1572078508696,2299782
1572078518712,2299847
1572078528692,2299913
1572078538725,2300019
1572078548713,2300275
1572078558751,2300427
1572078568751,2300516
1572078580172,2300705
1572078590220,2300725
1572078600201,2300806
1572078610193,2300936
1572078620217,2300936
1572078628793,2301180
1572078640186,2301321
1572078650241,2301398
1572078660231,2301582
1572078670212,2301652
1572078680257,2302796
1572078688837,2302827
1572078698815,2302876
1572078710338,2302934
1572078720277,2302945
1572078730246,2303020
1572078740295,2303078
1572078750268,2303239
1572078760291,2303363
1572078770281,2303363
1572078778908,2303481
1572078790323,2303540
1572078800318,2303673
1572078810316,2303709
1572078818925,2303709
1572078828935,2303824
1572078838942,2303891
1572078848935,2303953
1572078858960,2304015
1572078868942,2304089
1572078880400,2304174
1572078890364,2317738
1572078898993,2317814
1572078908989,2317881
1572078919018,2317995
1572078929014,2318119
1572078940424,2318129
1572078950410,2318129
1572078960466,2318288
1572078969010,2318288
1572078979017,2318373
1572078989068,2318667
1572078999065,2318751
1572079009184,2318815
1572079019067,2318948
1572079030521,2319135
1572079040521,2319239
1572079050512,2319325
1572079059090,2319325
1572079069124,2319457
1572079079126,2319556
1572079090557,2319600
1572079099117,2319600
1572079109123,2319781
1572079119163,2319805
1572079129139,2320011
1572079139177,2320600
1572079149167,2320660
1572079160622,2320762
1572079169199,2320762
1572079179211,2320828
1572079190603,2320968
1572079199256,2320968
1572079209259,2321062
1572079219230,2321083
1572079229245,2321177
1572079240652,2321281
1572079249228,2321281
1572079259262,2321622
1572079269270,2321783
1572079279289,2321783
1572079289263,2321920
1572079299310,2321957
1572079309449,2322055
1572079319324,2322186
1572079329327,2322243
1572079339349,2322442
1572079350776,2322486
1572079359349,2322486
1572079369344,2322671
1572079379367,2322858
1572079390804,2322985
1572079399388,2322985
1572079409391,2323138
1572079419378,2323291
1572079429386,2323514
1572079439419,2323551
1572079449430,2323681
1572079460857,2323849
1572079470873,2325049
1572079480826,2325049
1572079489457,2325125
1572079499506,2325224
1572079509465,2425309
1572079519494,2425329
1572079529462,2425364
1572079539465,2425546
1572079550896,2425623
1572079559515,2425764
1572079570942,2425817
1572079579525,2425817
1572079589535,2425852
1572079599551,2426009
1572079609560,2426106
1572079619559,2426106
1572079629574,2426290
1572079640971,2426455
1572079649584,2426455
1572079661018,2426826
1572079669613,2426826
1572079681027,2427027
1572079689613,2427027
1572079699627,2427089
1572079709611,2427289
1572079719638,2427400
1572079729668,2427400
1572079739670,2427492
1572079749677,2427697
1572079759699,2427740
1572079769683,2427823
1572079781135,2428117
1572079789733,2428117
1572079801163,2428657
1572079809708,2428657
1572079819742,2428728
1572079829741,2428818
1572079839723,2428818
1572079849760,2429220
1572079859768,2429389
1572079869780,2429574
1572079879771,2429604
1572079889790,2429837
1572079899801,2430009
1572079909779,2430076
1572079921232,2430220
1572079929810,2430220
1572079939822,2430239
1572079951255,2430359
1572079959842,2430359
1572079969844,2430544
1572079979860,2430665
1572079991274,2431012
1572080001292,2431012
1572080009894,2431097
1572080021322,2431192
1572080029900,2431192
1572080039903,2431247
1572080049888,2431502
1572080059909,2431701
1572080069931,2431760
1572080079921,2431760
1572080089928,2431868
1572080099959,2431868
1572080110561,2432009
1572080119979,2432100
1572080129966,2432183
1572080141399,2432427
1572080151389,2432427
1572080161396,2432532
1572080171402,2432700
1572080181411,2432700
1572080191525,2432956
1572080201439,2432956
1572080211434,2433146
1572080221441,2433210
1572080230065,2433210
1572080240074,2433294
1572080250076,2433431
1572080260089,2433508
1572080270095,2433699
1572080280104,2433931
1572080290096,2433983
1572080300130,2433983
1572080311550,2434606
1572080321548,2434803
1572080331537,2434803
1572080341555,2434926
1572080351592,2435301
1572080361593,2435301
1572080371564,2435440
1572080381573,2435440
1572080390197,2435440
1572080400204,2435485
1572080410221,2435605
1572080420232,2435903
1572080430789,2436088
1572080440241,2436178
1572080450221,2436245
1572080460261,2436265
1572080470269,2436337
1572080480342,2436409
1572080490317,2436561
