count,date
0.13,2019-11-03 00:00:17
1.77,2019-11-03 00:00:29
14.27,2019-11-03 00:00:39
0.83,2019-11-03 00:00:50
1.54,2019-11-03 00:01:02
5.0,2019-11-03 00:01:12
3.83,2019-11-03 00:01:23
18.17,2019-11-03 00:01:34
2.08,2019-11-03 00:01:45
0.08,2019-11-03 00:01:57
0.42,2019-11-03 00:02:08
0.96,2019-11-03 00:02:31
1.3,2019-11-03 00:02:54
1.67,2019-11-03 00:03:05
2.91,2019-11-03 00:03:27
0.92,2019-11-03 00:03:38
0.83,2019-11-03 00:03:49
7.75,2019-11-03 00:04:01
2.25,2019-11-03 00:04:12
0.62,2019-11-03 00:04:47
5.15,2019-11-03 00:04:59
0.14,2019-11-03 00:05:20
0.15,2019-11-03 00:05:53
5.48,2019-11-03 00:06:15
1.67,2019-11-03 00:06:26
0.42,2019-11-03 00:06:37
6.96,2019-11-03 00:06:59
0.38,2019-11-03 00:07:12
0.5,2019-11-03 00:07:23
4.78,2019-11-03 00:07:45
15.0,2019-11-03 00:07:56
1.92,2019-11-03 00:08:07
4.58,2019-11-03 00:08:18
1.7,2019-11-03 00:08:40
0.04,2019-11-03 00:09:02
6.23,2019-11-03 00:09:13
0.83,2019-11-03 00:09:25
2.17,2019-11-03 00:09:47
0.08,2019-11-03 00:09:58
0.5,2019-11-03 00:10:10
0.89,2019-11-03 00:10:44
1.25,2019-11-03 00:10:55
4.58,2019-11-03 00:11:06
7.5,2019-11-03 00:11:18
0.92,2019-11-03 00:11:29
1.92,2019-11-03 00:11:41
0.5,2019-11-03 00:11:53
5.83,2019-11-03 00:12:04
9.17,2019-11-03 00:12:16
1.62,2019-11-03 00:12:27
0.26,2019-11-03 00:12:50
241.62,2019-11-03 00:13:02
1.25,2019-11-03 00:13:13
0.35,2019-11-03 00:13:36
11.46,2019-11-03 00:13:47
2.33,2019-11-03 00:13:58
2.33,2019-11-03 00:14:09
0.08,2019-11-03 00:14:21
0.5,2019-11-03 00:14:32
2.15,2019-11-03 00:14:44
0.43,2019-11-03 00:15:06
0.5,2019-11-03 00:15:17
2.58,2019-11-03 00:15:28
0.83,2019-11-03 00:15:39
1.53,2019-11-03 00:16:12
2.17,2019-11-03 00:16:23
0.08,2019-11-03 00:16:34
0.57,2019-11-03 00:16:57
0.17,2019-11-03 00:17:08
0.07,2019-11-03 00:17:21
1.67,2019-11-03 00:17:32
1.67,2019-11-03 00:17:43
3.5,2019-11-03 00:17:54
1.54,2019-11-03 00:18:06
6.82,2019-11-03 00:18:16
0.42,2019-11-03 00:18:27
0.42,2019-11-03 00:18:38
2.78,2019-11-03 00:19:00
3.23,2019-11-03 00:19:12
0.5,2019-11-03 00:19:23
1.67,2019-11-03 00:19:34
1.69,2019-11-03 00:19:46
0.5,2019-11-03 00:19:57
0.25,2019-11-03 00:20:09
0.62,2019-11-03 00:20:32
4.08,2019-11-03 00:20:43
0.42,2019-11-03 00:20:54
1.67,2019-11-03 00:21:05
0.08,2019-11-03 00:21:16
2.39,2019-11-03 00:21:39
0.17,2019-11-03 00:21:50
1.43,2019-11-03 00:22:02
1.67,2019-11-03 00:22:13
1.62,2019-11-03 00:22:25
0.08,2019-11-03 00:22:37
5.42,2019-11-03 00:22:49
4.77,2019-11-03 00:23:00
3.91,2019-11-03 00:23:23
5.83,2019-11-03 00:23:34
7.75,2019-11-03 00:23:45
1.25,2019-11-03 00:23:57
6.67,2019-11-03 00:24:08
0.83,2019-11-03 00:24:19
2.5,2019-11-03 00:24:30
2.96,2019-11-03 00:24:53
0.42,2019-11-03 00:25:04
0.42,2019-11-03 00:25:16
3.75,2019-11-03 00:25:27
2.38,2019-11-03 00:25:39
2.17,2019-11-03 00:26:02
1.25,2019-11-03 00:26:13
0.42,2019-11-03 00:26:24
0.42,2019-11-03 00:26:35
0.58,2019-11-03 00:26:46
0.42,2019-11-03 00:26:58
0.83,2019-11-03 00:27:09
0.08,2019-11-03 00:27:20
