0.03,2020-01-16 00:10:35
0.14,2020-01-16 00:12:39
0.06,2020-01-16 00:14:11
0.0,2020-01-16 00:18:41
0.0,2020-01-16 00:22:17
0.02,2020-01-16 00:24:57
0.0,2020-01-16 00:36:41
0.02,2020-01-16 00:37:26
0.25,2020-01-16 00:38:46
0.01,2020-01-16 00:44:37
0.09,2020-01-16 01:04:12
0.29,2020-01-16 01:05:20
0.11,2020-01-16 01:08:19
0.07,2020-01-16 01:14:23
0.02,2020-01-16 01:28:06
0.01,2020-01-16 01:39:43
0.32,2020-01-16 01:42:20
0.59,2020-01-16 01:42:54
0.01,2020-01-16 01:46:43
0.03,2020-01-16 01:49:09
0.09,2020-01-16 01:51:01
0.04,2020-01-16 01:52:53
0.02,2020-01-16 02:00:06
0.12,2020-01-16 02:02:57
0.04,2020-01-16 02:08:03
0.45,2020-01-16 02:09:57
0.0,2020-01-16 02:14:02
0.0,2020-01-16 02:27:49
0.01,2020-01-16 02:41:14
0.01,2020-01-16 02:43:19
0.07,2020-01-16 02:56:30
0.04,2020-01-16 03:04:33
0.1,2020-01-16 03:13:24
0.03,2020-01-16 03:16:25
0.02,2020-01-16 03:32:58
0.01,2020-01-16 03:34:52
0.18,2020-01-16 03:36:46
0.03,2020-01-16 03:39:34
0.01,2020-01-16 03:41:48
0.06,2020-01-16 03:43:18
2.78,2020-01-16 03:43:40
0.03,2020-01-16 03:45:00
0.28,2020-01-16 03:52:23
0.01,2020-01-16 03:59:54
0.04,2020-01-16 04:01:56
0.0,2020-01-16 04:09:28
0.05,2020-01-16 04:16:02
0.04,2020-01-16 04:16:49
0.1,2020-01-16 04:20:12
0.04,2020-01-16 04:22:16
0.2,2020-01-16 04:26:25
0.11,2020-01-16 04:27:11
0.08,2020-01-16 04:27:22
0.03,2020-01-16 04:28:41
0.01,2020-01-16 04:30:56
0.05,2020-01-16 04:36:02
0.0,2020-01-16 04:45:27
0.15,2020-01-16 04:46:00
0.22,2020-01-16 04:46:22
0.83,2020-01-16 04:46:46
0.59,2020-01-16 04:47:20
0.13,2020-01-16 04:48:05
0.03,2020-01-16 04:51:20
0.02,2020-01-16 04:55:05
0.03,2020-01-16 05:07:19
0.01,2020-01-16 05:15:44
0.0,2020-01-16 05:29:40
0.0,2020-01-16 05:41:12
11.54,2020-01-16 05:43:50
0.0,2020-01-16 06:20:54
0.35,2020-01-16 06:21:16
0.0,2020-01-16 06:33:30
0.02,2020-01-16 06:34:30
0.01,2020-01-16 06:42:47
0.0,2020-01-16 06:47:52
0.01,2020-01-16 07:02:00
0.0,2020-01-16 07:35:23
0.01,2020-01-16 07:45:16
0.0,2020-01-16 08:16:54
0.02,2020-01-16 08:39:05
5.57,2020-01-16 08:39:27
0.0,2020-01-16 08:47:23
0.05,2020-01-16 09:20:57
0.01,2020-01-16 09:26:45
0.0,2020-01-16 09:52:32
0.36,2020-01-16 09:53:29
0.03,2020-01-16 09:55:56
0.0,2020-01-16 09:59:30
0.53,2020-01-16 10:02:43
0.59,2020-01-16 10:03:17
0.05,2020-01-16 10:19:40
0.04,2020-01-16 10:20:59
0.01,2020-01-16 10:26:15
0.01,2020-01-16 11:11:58
0.01,2020-01-16 11:23:05
0.0,2020-01-16 11:39:22
0.0,2020-01-16 11:48:27
0.0,2020-01-16 12:11:30
0.07,2020-01-16 12:12:38
0.02,2020-01-16 12:19:42
0.02,2020-01-16 12:20:26
0.01,2020-01-16 12:22:20
0.02,2020-01-16 12:27:58
0.14,2020-01-16 12:34:39
